"","Date","Period","ID1","ID2"
"99","6/4/21","1","MN48","MN2"
"100","6/4/21","1","MN70","MN2"
"101","6/4/21","1","MN21","MN20"
"102","6/4/21","1","MN21","MN71"
"103","6/4/21","1","MN21","MN22"
"104","6/4/21","1","MN20","MN71"
"105","6/4/21","1","MN20","MN22"
"106","6/4/21","1","MN71","MN22"
"107","6/5/21","1","MN62","MN28"
"108","6/5/21","1","MN62","MN17"
"109","6/5/21","1","MN28","MN17"
"110","6/5/21","1","MN18","MN11"
"111","6/5/21","1","MN63B","MN76"
"112","6/5/21","1","MN63B","MN58"
"113","6/5/21","1","MN76","MN58"
"114","6/5/21","1","MN22","MN46"
"115","6/5/21","1","MN21","MN20"
"116","6/5/21","1","MN14","MN35"
"117","6/6/21","1","MN32","MN62"
"118","6/6/21","1","MN32","MN17"
"119","6/6/21","1","MN32","MN28"
"120","6/6/21","1","MN62","MN17"
"121","6/6/21","1","MN62","MN28"
"122","6/6/21","1","MN17","MN28"
"123","6/6/21","1","MN71","MN29"
"124","6/6/21","1","MN16","MN31"
"125","6/6/21","1","MN16","MN11"
"126","6/6/21","1","MN31","MN11"
"127","6/6/21","1","MN40","MN59"
"128","6/6/21","1","MN69","MN67"
"129","6/6/21","1","MN69","MN19"
"130","6/6/21","1","MN67","MN19"
"131","6/6/21","1","MN44","MN58"
"132","6/6/21","1","MN35","MN66"
"133","6/6/21","1","MN36","MN42"
"134","6/6/21","1","MN20","MN21"
"135","6/6/21","1","MN20","MN70"
"136","6/6/21","1","MN21","MN70"
"137","6/7/21","1","MN28","MN32"
"138","6/7/21","1","MN28","MN17"
"139","6/7/21","1","MN32","MN17"
"140","6/7/21","1","MN13B","MN13A"
"141","6/7/21","1","MN76","MN15"
"142","6/7/21","1","MN76","MN54"
"143","6/7/21","1","MN15","MN54"
"144","6/7/21","1","MN59","MN40"
"145","6/7/21","1","MN65","MN26"
"146","6/7/21","1","MN22","MN69"
"147","6/7/21","1","MN22","MN45"
"148","6/7/21","1","MN69","MN45"
"149","6/7/21","1","MN20","MN21"
"150","6/7/21","1","MN20","MN70"
"151","6/7/21","1","MN21","MN70"
"152","6/8/21","1","MN28","MN32"
"153","6/8/21","1","MN28","MN12"
"154","6/8/21","1","MN28","MN17"
"155","6/8/21","1","MN32","MN12"
"156","6/8/21","1","MN32","MN17"
"157","6/8/21","1","MN12","MN17"
"158","6/8/21","1","MN13A","MN13B"
"159","6/8/21","1","MN40","MN59"
"160","6/8/21","1","MN23","MN1"
"161","6/8/21","1","MN23","MN62"
"162","6/8/21","1","MN1","MN62"
"163","6/8/21","1","MN22","MN71"
"164","6/8/21","1","MN22","MN69"
"165","6/8/21","1","MN71","MN69"
"166","6/8/21","1","MN21","MN20"
"167","6/8/21","1","MN56","MN33"
"168","6/8/21","1","MN56","MN60"
"169","6/8/21","1","MN56","MN16"
"170","6/8/21","1","MN56","MN46"
"171","6/8/21","1","MN56","MN76"
"172","6/8/21","1","MN56","MN70"
"173","6/8/21","1","MN33","MN60"
"174","6/8/21","1","MN33","MN16"
"175","6/8/21","1","MN33","MN46"
"176","6/8/21","1","MN33","MN76"
"177","6/8/21","1","MN33","MN70"
"178","6/8/21","1","MN60","MN16"
"179","6/8/21","1","MN60","MN46"
"180","6/8/21","1","MN60","MN76"
"181","6/8/21","1","MN60","MN70"
"182","6/8/21","1","MN16","MN46"
"183","6/8/21","1","MN16","MN76"
"184","6/8/21","1","MN16","MN70"
"185","6/8/21","1","MN46","MN76"
"186","6/8/21","1","MN46","MN70"
"187","6/8/21","1","MN76","MN70"
"188","6/8/21","1","MN14","MN31"
"189","6/8/21","1","MN14","MN63A"
"190","6/8/21","1","MN14","MN55"
"191","6/8/21","1","MN14","MN51"
"192","6/8/21","1","MN31","MN63A"
"193","6/8/21","1","MN31","MN55"
"194","6/8/21","1","MN31","MN51"
"195","6/8/21","1","MN63A","MN55"
"196","6/8/21","1","MN63A","MN51"
"197","6/8/21","1","MN55","MN51"
"198","6/17/21","2","MN44","MN41"
"199","6/17/21","2","MN44","MN30"
"200","6/17/21","2","MN41","MN30"
"201","6/17/21","2","MN17","MN28"
"202","6/17/21","2","MN17","MN12"
"203","6/17/21","2","MN28","MN12"
"204","6/17/21","2","MN13B","MN13A"
"205","6/17/21","2","MN71","MN54"
"206","6/17/21","2","MN59","MN29"
"207","6/17/21","2","MN59","MN40"
"208","6/17/21","2","MN29","MN40"
"209","6/17/21","2","MN76","MN63B"
"210","6/17/21","2","MN21","MN20"
"211","6/17/21","2","MN22","MN69"
"212","6/17/21","2","MN55","MN70"
"213","6/17/21","2","MN55","MN35"
"214","6/17/21","2","MN55","MN2"
"215","6/17/21","2","MN55","MN67"
"216","6/17/21","2","MN70","MN35"
"217","6/17/21","2","MN70","MN2"
"218","6/17/21","2","MN70","MN67"
"219","6/17/21","2","MN35","MN2"
"220","6/17/21","2","MN35","MN67"
"221","6/17/21","2","MN2","MN67"
"222","6/17/21","2","MN26","MN23"
"223","6/17/21","2","MN60","MN19"
"224","6/17/21","2","MN60","MN7"
"225","6/17/21","2","MN60","MN14"
"226","6/17/21","2","MN19","MN7"
"227","6/17/21","2","MN19","MN14"
"228","6/17/21","2","MN7","MN14"
"229","6/17/21","2","MN63A","MN46"
"230","6/18/21","2","MN17","MN28"
"231","6/18/21","2","MN54","MN71"
"232","6/18/21","2","MN29","MN59"
"233","6/18/21","2","MN29","MN40"
"234","6/18/21","2","MN59","MN40"
"235","6/18/21","2","MN18","MN76"
"236","6/18/21","2","MN18","MN63B"
"237","6/18/21","2","MN76","MN63B"
"238","6/18/21","2","MN21","MN20"
"239","6/18/21","2","MN69","MN22"
"240","6/18/21","2","MN55","MN70"
